mesh_file,landmark,x,y,z
template.vtk,a,-0.539064445,0.663507631,0.0
template.vtk,b,0.786896699,-0.405479244,-0.2002553
template.vtk,c,0.397947573,0.476033411,0.437908426
template.vtk,d,0.044688177,0.212517064,-0.598628585
subject-01.vtk,a,-0.541101868,0.717533663,0.0
subject-01.vtk,b,0.750855439,-0.377630234,-0.19044135
subject-01.vtk,c,0.403950674,0.487176079,0.419435239
subject-01.vtk,d,-0.033766403,0.243705435,-0.578455997
subject-02.vtk,a,-0.553017668,0.609481598,0.01
subject-02.vtk,b,0.834436224,-0.411940552,-0.205395488
subject-02.vtk,c,0.422996747,0.439441404,0.476161594
subject-02.vtk,d,0.090343055,0.180871486,-0.618995215
subject-03.vtk,a,-0.505731112,0.710520647,-0.02
subject-03.vtk,b,0.797103863,-0.405362814,-0.202472155
subject-03.vtk,c,0.355232633,0.53866684,0.383352962
subject-03.vtk,d,0.039319967,0.245344331,-0.578757503
subject-04.vtk,a,-0.528205956,0.636494614,0.03
subject-04.vtk,b,0.723332632,-0.36694399,-0.205877491
subject-04.vtk,c,0.424896933,0.408529994,0.537091805
subject-04.vtk,d,-0.005385336,0.196300445,-0.648385116
subject-05.vtk,a,-0.534189601,0.706040171,-0.01
subject-05.vtk,b,0.897859628,-0.425325052,-0.179919022
subject-05.vtk,c,0.465725421,0.499717834,0.371329636
subject-05.vtk,d,0.037795753,0.226548927,-0.547880958
