iteration,log_likelihood,attachment,regularity
0,-44.07,-44.07,0.0
1,-40.35,-40.35,-0.0002732
2,-35.43,-35.43,-0.001598
3,-29.28,-29.27,-0.005232
4,-22.15,-22.14,-0.01329
5,-14.75,-14.72,-0.02856
6,-8.181,-8.128,-0.05328
7,-3.551,-3.465,-0.08629
8,-1.278,-1.158,-0.1205
9,-0.7193,-0.5747,-0.1446
10,-0.6691,-0.5237,-0.1454
11,-0.6407,-0.4945,-0.1462
12,-0.6297,-0.4824,-0.1472
13,-0.61,-0.4621,-0.1479
14,-0.5927,-0.4442,-0.1485
15,-0.5701,-0.4208,-0.1493
16,-0.5512,-0.4013,-0.1499
17,-0.542,-0.3911,-0.1508
18,-0.5291,-0.3778,-0.1512
19,-0.5179,-0.3661,-0.1517
20,-0.4931,-0.3411,-0.152
21,-0.4797,-0.3274,-0.1523
22,-0.468,-0.3154,-0.1526
