iteration,log_likelihood,attachment,regularity
0,-44.07,-44.07,0.0
1,-40.35,-40.35,-0.0002732
2,-35.43,-35.43,-0.001598
3,-29.28,-29.27,-0.005232
4,-22.15,-22.14,-0.01329
5,-14.75,-14.72,-0.02856
6,-8.181,-8.128,-0.05328
7,-3.551,-3.465,-0.08629
8,-1.278,-1.157,-0.1205
9,-0.719,-0.5744,-0.1446
10,-0.6692,-0.5238,-0.1454
11,-0.6409,-0.4947,-0.1462
12,-0.6297,-0.4825,-0.1472
13,-0.61,-0.4621,-0.1479
14,-0.5926,-0.4441,-0.1485
15,-0.5702,-0.4209,-0.1493
16,-0.5511,-0.4012,-0.1499
17,-0.5418,-0.391,-0.1508
18,-0.5291,-0.3779,-0.1512
19,-0.5181,-0.3663,-0.1517
20,-0.4929,-0.3409,-0.152
21,-0.4794,-0.3272,-0.1523
22,-0.4679,-0.3153,-0.1526
